06:26:21.607 [TestNG-test=TestNG_1-1] INFO  testNG_1.TestA - I am starting the test
06:26:21.639 [TestNG-test=TestNG_1-1] INFO  testNG_1.myListener - I am success with the test
06:26:21.641 [TestNG-test=TestNG_1-1] INFO  testNG_1.myListener - Mother ManjulaFather:Manjunath
06:26:21.641 [TestNG-test=TestNG_1-1] INFO  testNG_1.myListener - Prithvi
06:26:21.641 [TestNG-test=TestNG_1-1] INFO  testNG_1.myListener - My name is:Deepak emp id: 389524
06:26:21.641 [TestNG-test=TestNG_1-1] INFO  testNG_1.myListener - I am starting the test
06:26:21.641 [TestNG-test=TestNG_1-1] INFO  testNG_3.TestA - In testA3NG_1
06:26:21.642 [TestNG-test=TestNG_1-1] INFO  testNG_1.myListener - I am success with the test
06:26:21.646 [TestNG-test=TestNG_1-1] INFO  testNG_1.myListener - Mother ManjulaFather:Manjunath
06:26:21.646 [TestNG-test=TestNG_1-1] INFO  testNG_1.myListener - Prithvi
06:26:21.646 [TestNG-test=TestNG_1-1] INFO  testNG_1.myListener - My name is:Deepak emp id: 389524
06:26:21.646 [TestNG-test=TestNG_1-1] INFO  testNG_1.myListener - I am starting the test
06:26:21.646 [TestNG-test=TestNG_1-1] INFO  testNG_3.TestA - 389524
06:26:21.646 [TestNG-test=TestNG_1-1] INFO  testNG_3.TestA - In testANG_3
06:26:21.647 [TestNG-test=TestNG_1-1] INFO  testNG_1.myListener - I am success with the test
06:26:21.648 [TestNG-test=TestNG_1-1] INFO  testNG_1.myListener - Mother ManjulaFather:Manjunath
06:26:21.648 [TestNG-test=TestNG_1-1] INFO  testNG_1.myListener - Prithvi
06:26:21.648 [TestNG-test=TestNG_1-1] INFO  testNG_1.myListener - My name is:Deepak emp id: 389524
06:26:21.648 [TestNG-test=TestNG_1-1] INFO  testNG_1.myListener - I am starting the test
06:26:21.648 [TestNG-test=TestNG_1-1] INFO  testNG_1.TestB - In testBNG_1
06:26:21.648 [TestNG-test=TestNG_1-1] INFO  testNG_1.myListener - I am success with the test
06:26:21.649 [TestNG-test=TestNG_1-1] INFO  testNG_1.myListener - Mother ManjulaFather:Manjunath
06:26:21.649 [TestNG-test=TestNG_1-1] INFO  testNG_1.myListener - Prithvi
06:26:21.650 [TestNG-test=TestNG_1-1] INFO  testNG_1.myListener - My name is:Deepak emp id: 389524
06:26:21.650 [TestNG-test=TestNG_1-1] INFO  testNG_1.myListener - I am starting the test
